epoch,train_loss,eval_loss,eval_top1,eval_top5
0,2.2642597730343157,2.08990625,27.92,79.95
1,2.2178121322240587,1.914496875,31.81,84.67
2,2.1661910598094645,1.8007140625,35.74,87.29
3,2.1295635571846594,1.67415,42.41,90.58
4,2.083193162160042,1.5476546875,48.53,92.65
5,2.050906832095904,1.5310265625,47.06,92.9
6,2.0364995782191935,1.4655578125,52.89,93.66
7,2.0242073529805893,1.397371875,52.82,94.18
8,2.021401580174764,1.394571875,53.19,93.6
9,2.0029971504822757,1.351671875,54.25,94.38
10,2.0128324034886482,1.427946875,54.33,94.2
11,1.9804609518784744,1.3206796875,56.13,93.76
12,1.9904084040568426,1.357559375,55.97,94.4
13,1.963540587364099,1.2552703125,59.98,95.88
14,1.9732652022288395,1.22421875,60.9,95.93
15,1.9503894463563576,1.2432796875,61.36,95.84
16,1.9355265550124339,1.228690625,61.57,96.05
17,1.9320804287225772,1.1711265625,63.99,96.44
18,1.9236751626699398,1.166671875,61.94,96.24
19,1.9046649575233459,1.12061875,63.51,96.85
20,1.9029602536788353,1.0996125,65.67,97.13
21,1.8939410304411863,1.050759375,67.82,97.38
22,1.8850357605860784,1.086925,65.76,97.09
23,1.8655010981437488,1.025784375,69.07,97.49
24,1.864304335300739,1.030684375,68.12,97.05
25,1.8416103210204686,1.0066296875,69.23,97.05
26,1.8516017748759344,0.9942609375,69.77,97.45
27,1.8505089820959628,0.995471875,71.34,97.53
28,1.8380958123084827,0.9419484375,71.45,97.95
29,1.8314780825223678,0.9722796875,72.31,97.52
30,1.8191457476371373,0.97160625,72.29,97.66
31,1.812447852966113,0.94293671875,73.08,98.03
32,1.8003092606862385,0.9360734375,72.01,97.7
33,1.810031770131527,0.94939765625,71.38,97.57
34,1.798826101804391,0.909815625,73.88,98.18
35,1.80106273155946,0.89314140625,75.16,98.24
36,1.7954004327456157,0.8259578125,75.88,98.41
37,1.7934712926546732,0.87490234375,76.09,98.12
38,1.7850404595717406,0.79015,77.2,98.44
39,1.7738287412203275,0.8594671875,73.53,98.05
