epoch,train_loss,eval_loss,eval_top1,eval_top5
0,4.613545999771509,4.596375,0.92,5.59
1,4.537711007778461,4.23594375,7.47,23.83
2,4.445181570297632,4.0070625,10.96,32.12
3,4.373740737866132,3.824425,13.44,37.36
4,4.3186618921084285,3.654665625,16.48,42.89
5,4.272844991317162,3.525459375,18.48,46.29
6,4.241304475221878,3.423365625,22.04,51.28
7,4.195483315296662,3.352428125,21.44,50.69
8,4.163147993576833,3.22049375,23.9,55.01
9,4.135326060881981,3.201221875,25.31,55.28
10,4.090891002997374,3.09795,27.22,56.9
11,4.0582436268146225,2.966071875,29.02,61.15
12,4.021254324301696,2.8951,29.74,61.98
13,4.0032320951804135,2.80814375,32.91,65.3
14,3.97334136229295,2.754709375,34.12,66.3
15,3.920571991113516,2.622071875,37.1,69.38
16,3.876115183952527,2.5370875,38.32,70.79
17,3.873339851697286,2.502178125,39.72,70.83
18,3.8329020854754328,2.402775,41.71,73.8
19,3.8284712229019555,2.3824375,42.42,74.23
20,3.7867530492635875,2.34275,42.23,74.44
21,3.7443198894843075,2.2414203125,45.17,77.0
22,3.738399885250972,2.2498328125,44.14,76.21
23,3.715574856904837,2.236209375,46.33,76.43
24,3.6875699617923834,2.19805,46.37,78.04
25,3.6848771241995006,2.066640625,47.65,78.95
26,3.6851751633179495,2.070971875,48.8,79.32
27,3.668881599719708,2.04195625,49.48,79.67
28,3.6665916772989124,2.054465625,49.45,80.21
29,3.677202711961208,2.0507328125,50.83,80.13
30,3.608395876028599,1.8937796875,52.76,82.23
31,3.5951071427418637,1.995053125,51.01,81.46
32,3.6225498645733563,1.9255453125,52.14,81.35
33,3.5183551458212046,1.876415625,53.2,82.14
34,3.5900597083262906,1.8345921875,54.03,83.0
35,3.5355802101966662,1.8723703125,53.09,82.56
36,3.5315796833771924,1.8445015625,54.55,83.36
37,3.514783381193112,1.8452859375,54.25,82.83
38,3.49888770091228,1.7797375,55.12,84.23
39,3.502839990762564,1.7911625,54.61,83.45
40,3.489806521855868,1.7946984375,55.37,83.57
41,3.4677440667763735,1.7644796875,55.79,84.25
42,3.4650418929564646,1.7270578125,56.14,84.56
43,3.477050863779508,1.727028125,56.78,84.76
44,3.453199617067973,1.699046875,57.62,85.07
45,3.425881572258778,1.7064140625,57.3,85.25
46,3.4612959024233696,1.70751328125,57.19,85.39
47,3.4234545842195168,1.703478125,57.89,85.03
48,3.407573094123449,1.642215625,58.8,85.84
49,3.407490743734898,1.61818125,58.39,86.36
50,3.4456056478695993,1.6744890625,59.44,86.01
51,3.4159301219842373,1.6542703125,59.27,86.07
52,3.400702614050645,1.63795625,59.08,86.18
53,3.414946056634952,1.6469515625,58.89,87.06
54,3.383833790436769,1.6212578125,60.2,86.92
55,3.3859079146996525,1.5886015625,61.17,87.32
56,3.307336246661651,1.573225,60.25,87.07
57,3.3259283291987884,1.6048703125,60.17,86.88
58,3.3818712344536412,1.617534375,60.0,86.97
59,3.342912746087099,1.5983359375,60.41,86.94
60,3.3611756783265334,1.561115625,61.09,87.44
61,3.3404994695614545,1.576878125,61.32,87.24
62,3.336253750629914,1.5635546875,61.23,87.85
63,3.299195977969047,1.538634375,61.68,87.69
64,3.3208268660765428,1.53084375,61.4,87.26
65,3.3433017345575187,1.531465625,61.26,87.43
66,3.2812346941385515,1.5306328125,61.97,87.9
67,3.2890180942339775,1.475259375,62.94,88.66
68,3.339353568125994,1.5438859375,62.32,88.06
69,3.3267723022363125,1.4476390625,63.62,88.19
70,3.29070001748892,1.418953125,63.33,89.21
71,3.2906240194271774,1.5023390625,63.23,88.0
72,3.2462413378250905,1.485396875,63.81,88.48
73,3.2791502897556013,1.4406078125,63.76,88.74
74,3.257712205251058,1.49093125,62.83,88.81
75,3.246132112160707,1.4551890625,62.53,88.89
76,3.2627594862228784,1.44589765625,63.49,88.93
77,3.2186790013924624,1.42403125,64.5,88.91
78,3.2396383762359617,1.46655078125,62.97,88.74
79,3.2834037670722376,1.4120703125,64.34,88.88
80,3.2774478851220548,1.4442078125,64.52,89.16
81,3.276575204653618,1.4571046875,64.09,89.11
82,3.2353882869084676,1.4487875,64.19,88.9
83,3.203368465717022,1.4034671875,65.47,89.53
84,3.20827236358936,1.3729296875,65.4,89.36
85,3.2373800326616338,1.4517046875,64.04,88.63
86,3.218689019863422,1.43645625,64.68,89.24
87,3.210281268144265,1.40818125,65.18,89.14
88,3.2097285276804213,1.3676140625,64.83,89.33
89,3.2317372224269767,1.3664578125,65.38,89.7
90,3.169999348811614,1.4257453125,65.67,89.47
91,3.1882663142986787,1.3397625,66.42,89.86
92,3.1580551190254016,1.35485,66.58,89.89
93,3.150855363943638,1.3434265625,66.18,90.06
94,3.215453494512118,1.3818984375,66.28,89.83
95,3.192154787442623,1.363,66.1,89.63
96,3.172555625744355,1.29225,66.93,90.4
97,3.1459350656240415,1.3323765625,67.08,90.22
98,3.2032613943784667,1.34737578125,66.81,89.79
99,3.144457936898256,1.327865625,66.61,90.18
100,3.153771614417052,1.3521515625,66.82,90.39
101,3.1890286173575966,1.38449375,65.95,89.69
102,3.094227913709787,1.36447890625,66.59,90.05
103,3.1587695656678614,1.347240625,66.82,90.4
104,3.1057577182085088,1.31319921875,67.23,90.64
105,3.104663837873019,1.2963015625,67.94,90.83
106,3.1031687626471887,1.26839453125,68.09,90.79
107,3.117691037593744,1.32540625,67.97,90.75
108,3.152301375071208,1.309103125,67.44,90.61
109,3.0980101129947566,1.29049140625,67.96,90.96
110,3.1261536714358207,1.25236171875,68.41,90.92
111,3.0924978415171305,1.29388125,67.75,90.84
112,3.093517632667835,1.27485,68.16,91.11
113,3.1030240529622786,1.269025,68.48,91.5
114,3.02478478932992,1.2075203125,68.89,91.4
115,3.1426096378228605,1.217109375,69.04,91.23
116,3.107091212272644,1.2831890625,68.31,91.0
117,3.0886428062732403,1.24504765625,68.61,91.05
118,3.089208458020137,1.209896875,69.07,91.92
119,3.0256205265338605,1.2828,68.81,91.55
120,3.066930095049051,1.2689671875,68.58,91.01
121,3.0914512056570786,1.18285703125,69.4,91.71
122,3.061900439323523,1.24204296875,69.4,91.55
123,3.0631543220617834,1.2781,68.86,90.96
124,3.092138745234563,1.2697046875,69.33,91.58
125,3.0118735016920626,1.218596875,69.16,91.19
126,3.0271755368281634,1.22753984375,69.0,91.44
127,3.03168418835371,1.2421078125,69.27,91.75
128,3.0752675585257703,1.192528125,69.7,92.1
129,3.064280741642683,1.2070796875,69.79,91.59
130,2.997629737548339,1.16159296875,70.3,92.09
131,3.0573155088302415,1.16912890625,70.98,92.1
132,2.955128390972431,1.20518046875,70.15,91.87
133,3.0224105896093905,1.21478359375,69.84,91.46
134,3.042602263047145,1.16826484375,70.4,92.04
135,3.0242633037078073,1.2130546875,69.99,92.0
136,3.0233347550416605,1.1838203125,71.06,91.82
137,2.9829891791710486,1.217159375,69.79,91.5
138,3.0417690524688132,1.19059296875,70.67,92.16
139,2.9889648663691983,1.17935078125,70.65,91.87
140,3.0335550023959232,1.2293875,70.69,91.76
141,2.98548736786231,1.2196375,70.41,91.94
142,2.9634768275114207,1.1517515625,71.36,92.42
143,2.9844939057643596,1.17304296875,71.6,92.1
144,2.9743111634865786,1.228059375,70.89,92.1
145,3.0273758545900002,1.1829296875,71.45,92.06
146,3.012073712165539,1.1719796875,71.0,92.1
147,2.950422126818926,1.14396171875,71.27,92.24
148,2.9804822613031434,1.14371875,71.63,92.55
149,2.9899535833260953,1.1188078125,72.12,92.72
150,2.9576964360017044,1.1163625,72.45,92.69
151,2.9188277452419964,1.171646875,72.2,92.39
152,2.9954452863106362,1.18548046875,71.62,92.49
153,2.9650766770044963,1.12915,71.73,92.59
154,2.9424536582751153,1.1664359375,71.91,92.58
155,2.982965379800552,1.149290625,71.61,92.27
156,2.940745220734523,1.1295171875,71.83,92.62
157,2.950399039953183,1.11423046875,72.2,92.44
158,2.9389129207684443,1.114953125,72.26,92.99
159,2.9236869429930663,1.1127703125,72.49,92.8
160,2.8977248708407086,1.1318171875,72.68,92.97
161,2.9520196816860103,1.09937734375,72.75,93.02
162,2.9093240930483892,1.12505625,72.64,92.92
163,2.8894557130642426,1.10655859375,72.37,93.05
164,2.9386628224299502,1.10583828125,71.78,92.6
165,2.925835361847511,1.16085703125,72.6,92.79
166,2.879645511125907,1.10445234375,72.51,92.98
167,2.926881598509275,1.10075546875,72.63,92.72
168,2.881642052454826,1.05031171875,73.79,93.31
169,2.8980636300184788,1.12598671875,73.04,92.79
170,2.933098765519949,1.09353125,72.85,92.87
171,2.8878312532718367,1.08211328125,73.07,93.1
172,2.872847212583591,1.1170421875,72.62,93.14
173,2.86486829213607,1.0872203125,72.77,93.1
174,2.8774878905369685,1.12702734375,73.03,92.9
175,2.8451636561980616,1.09626640625,73.32,92.91
176,2.9166518199138154,1.0833296875,72.99,92.92
